Route Name,Ascent Label,Ascent ID,Ascent Link,Ascent Type,Route Grade,Ascent Grade,Route Gear Style,Ascent Gear Style,Route Height,Ascent Height,# Ascents,Route Stars,Route ID,Route Link,Country,Country Link,Crag Name,Crag Link,Crag Path,With,Comment,Quality,Ascent Date,Log Date,Shot
Xirinacs,,10892869599,http://www.thecrag.com/ascent/10892869599,Hang dog,6c,,Sport,Sport,20m,,1,**,348566769,http://www.thecrag.com/route/348566769,Spain,http://www.thecrag.com/area/11747395,Grau dels Matxos,http://www.thecrag.com/area/347804847,Grau dels Matxos,"Marc Klingenberg,  Ferran Noguera,  Quim Picó Mora,  Ribeiro di Janiero,  Genís","Difficult 6c in my opinion, but not worth a 6c hard. Fun start and crux on the overhanging part. If you know the beta is another story but still endurance is a key part.",Very Good,2025-01-05T00:00:00Z,2025-01-05T16:41:07Z,
Torchwood,,10891924698,http://www.thecrag.com/ascent/10891924698,Onsight,6c,,Sport,Sport,17m,,1,**,348579783,http://www.thecrag.com/route/348579783,Spain,http://www.thecrag.com/area/11747395,Grau dels Matxos,http://www.thecrag.com/area/347804847,Grau dels Matxos,"Marc Klingenberg,  Ferran Noguera,  Quim Picó Mora,  Ribeiro di Janiero,  Genís",Sketchy start and endurance route. The most difficult part is just before the tree from the top. Enjoying route!,Classic,2025-01-05T00:00:00Z,2025-01-05T13:22:38Z,
Popper,,10891721349,http://www.thecrag.com/ascent/10891721349,Onsight,6a+,,Sport,Sport,20m,,1,**,1514907945,http://www.thecrag.com/route/1514907945,Spain,http://www.thecrag.com/area/11747395,Grau dels Matxos,http://www.thecrag.com/area/347804847,Grau dels Matxos,"Marc Klingenberg,  Ferran Noguera,  Quim Picó Mora,  Ribeiro di Janiero,  Genís","Great quality route. Fun start and intense last quickdraw, where endurance is important.",Classic,2025-01-05T00:00:00Z,2025-01-05T11:48:40Z,
Els Vegetarians,,10652557032,http://www.thecrag.com/ascent/10652557032,Hang dog,6b+,,Sport,Sport,15m,,2,**,157182639,http://www.thecrag.com/route/157182639,Spain,http://www.thecrag.com/area/11747395,Gelida,http://www.thecrag.com/area/103094418,Gelida - Paret de Font Freda,"Elena Ruiz,  Marc Klingenberg,  Genís,  Ana Mestre","2nd attempt of the day, with quickdraws set, and fell in the same spot, but improved the beta. Let's see next day.",Very Good,2024-11-16T00:00:00Z,2024-11-16T20:09:38Z,
Els Vegetarians,,10652548803,http://www.thecrag.com/ascent/10652548803,Hang dog,6b+,,Sport,Sport,15m,,2,**,157182639,http://www.thecrag.com/route/157182639,Spain,http://www.thecrag.com/area/11747395,Gelida,http://www.thecrag.com/area/103094418,Gelida - Paret de Font Freda,"Elena Ruiz,  Marc Klingenberg,  Genís,  Ana Mestre","The whole route is concentrated between the 3rd and 4th bolt, next to the big hole. It's a hard 6b+, pretty interesting.",Very Good,2024-11-16T00:00:00Z,2024-11-16T20:08:16Z,
34,,10650719487,http://www.thecrag.com/ascent/10650719487,Onsight,6a,,Sport,Sport,15m,,1,*,157184214,http://www.thecrag.com/route/157184214,Spain,http://www.thecrag.com/area/11747395,Gelida,http://www.thecrag.com/area/103094418,Gelida - Paret de Font Freda,"Elena Ruiz,  Marc Klingenberg,  Genís,  Ana Mestre","Fun 6a with a nice start. The last part, at the anchor, is a bit sketchy and where the most difficult part is.",Good,2024-11-16T00:00:00Z,2024-11-16T13:56:31Z,
Es algo,,10622912166,http://www.thecrag.com/ascent/10622912166,Hang dog,7a,,Sport,Sport,25m,,1,**,780251598,http://www.thecrag.com/route/780251598,Spain,http://www.thecrag.com/area/11747395,Siurana,http://www.thecrag.com/area/14158033,Siurana - Grau dels Masets - Esquerra,Elena Ruiz,Constant 7a except for an isolated movement in the middle part with small finger crimps (which are a bit slippery). The rest is easy knowing it's a 7a. A theoretical route I would say.,Good,2024-11-10T00:00:00Z,2024-11-10T16:31:57Z,
Why,,10622908548,http://www.thecrag.com/ascent/10622908548,Onsight,6a,,Sport,Sport,30m,,1,**,18422641,http://www.thecrag.com/route/18422641,Spain,http://www.thecrag.com/area/11747395,Siurana,http://www.thecrag.com/area/14158033,Siurana - Grau dels Masets - Esquerra,Elena Ruiz,Fun route! A bit difficult to understand which are your bolts because there are a tone of routes in the same wall. Recommended to read the guide carefully before starting.,Classic,2024-11-10T00:00:00Z,2024-11-10T16:30:08Z,
Super Espero,,10622903982,http://www.thecrag.com/ascent/10622903982,Onsight,6b,,Sport,Sport,20m,,1,**,18422881,http://www.thecrag.com/route/18422881,Spain,http://www.thecrag.com/area/11747395,Siurana,http://www.thecrag.com/area/14158033,Siurana - Grau dels Masets - Esquerra,Elena Ruiz,Great route with interesting movements in the middle part. The first part is a bit slippery but manageable. A bit harder than a plain 6b.,Very Good,2024-11-10T00:00:00Z,2024-11-10T16:28:49Z,
Super Fisura,,10622899845,http://www.thecrag.com/ascent/10622899845,Onsight,5+,,Sport,Sport,20m,,1,**,18422929,http://www.thecrag.com/route/18422929,Spain,http://www.thecrag.com/area/11747395,Siurana,http://www.thecrag.com/area/14158033,Siurana - Grau dels Masets - Esquerra,Elena Ruiz,Great bavaresa! The first two bolts are a bit slippery but the rest is another story and very recommended.,Very Good,2024-11-10T00:00:00Z,2024-11-10T16:27:53Z,
Cojón prieto,,10616711931,http://www.thecrag.com/ascent/10616711931,Onsight,7a,,Sport,Sport,30m,,2,***,220648233,http://www.thecrag.com/route/220648233,Spain,http://www.thecrag.com/area/11747395,Siurana,http://www.thecrag.com/area/14158033,Siurana - L'Herbolari,Elena Ruiz,"What a fantastic route, extremely recommended! Fun and big overhanging and sketchy final part with small foot holds. Thank God though the quickdraws were already set. My first 7a on-sight, super happy!",Mega Classic,2024-11-09T00:00:00Z,2024-11-09T14:42:38Z,
Hansel i Gretel,,10616132031,http://www.thecrag.com/ascent/10616132031,Onsight,6c,,Sport,Sport,35m,,1,***,228278298,http://www.thecrag.com/route/228278298,Spain,http://www.thecrag.com/area/11747395,Siurana,http://www.thecrag.com/area/14158033,Siurana - L'Herbolari,Elena Ruiz,Top tier route! Pretty long crag. It feels like it's never ending. Sometimes very scary but enjoyable anyway.,Mega Classic,2024-11-09T00:00:00Z,2024-11-09T12:23:30Z,
Maria Lluisa,,10615966968,http://www.thecrag.com/ascent/10615966968,Onsight,6a+,,Sport,Sport,20m,,1,**,220648140,http://www.thecrag.com/route/220648140,Spain,http://www.thecrag.com/area/11747395,Siurana,http://www.thecrag.com/area/14158033,Siurana - L'Herbolari,Elena Ruiz,"Fantastic route, I really enjoyed it! The first bolt is a bit far, but using the tree makes the path safe and easy enough. The most delicated part are on the first 3 bolts. The rest is easier. Anyway, the route is self explanatory.",Mega Classic,2024-11-09T00:00:00Z,2024-11-09T11:06:27Z,
#8,,10501875342,http://www.thecrag.com/ascent/10501875342,Hang dog,6b+,,Sport,Sport,15m,,1,*,2632471140,http://www.thecrag.com/route/2632471140,Spain,http://www.thecrag.com/area/11747395,Montserrat,http://www.thecrag.com/area/11882185,Montserrat - Montserrat Nord-Est - Cova de l'Os,"Marc Klingenberg,  Ribeiro di Janiero",Not very recommended route. We were a group of three people and none of us could read what to do between the 1st and 2nd bolts. Pretty crazy. The rest of the route is a 6b+ slab.,Good,2024-10-20T00:00:00Z,2024-10-20T15:34:51Z,
Parko,,10501185639,http://www.thecrag.com/ascent/10501185639,Hang dog,6c,,Sport,Sport,15m,,3,**,7048143321,http://www.thecrag.com/route/7048143321,Spain,http://www.thecrag.com/area/11747395,Montserrat,http://www.thecrag.com/area/11882185,Montserrat - Montserrat Nord-Est - Cova de l'Os,"Marc Klingenberg,  Ribeiro di Janiero",In the second attempt of the day I handled much better but I fell almost in the last movement of the route. Very sad but happy of how I handled all the rest.,Very Good,2024-10-20T00:00:00Z,2024-10-20T12:42:33Z,
Parko,,10500373677,http://www.thecrag.com/ascent/10500373677,Hang dog,6c,,Sport,Sport,15m,,3,**,7048143321,http://www.thecrag.com/route/7048143321,Spain,http://www.thecrag.com/area/11747395,Montserrat,http://www.thecrag.com/area/11882185,Montserrat - Montserrat Nord-Est - Cova de l'Os,"Marc Klingenberg,  Ribeiro di Janiero","After some weeks from the first attempt, I tried once again and I fell in a spot that I thought I had controlled. Then, the rest I handled correctly. Excited to try again.",Very Good,2024-10-20T00:00:00Z,2024-10-20T11:22:39Z,
8,,10500242223,http://www.thecrag.com/ascent/10500242223,Onsight,6a,,Sport,Sport,15m,,1,**,7048133784,http://www.thecrag.com/route/7048133784,Spain,http://www.thecrag.com/area/11747395,Montserrat,http://www.thecrag.com/area/11882185,Montserrat - Montserrat Nord-Est - Cova de l'Os,"Marc Klingenberg,  Ribeiro di Janiero","Great 6a route! The difficult part is at the beginning and at the end, but difficult at the 6a level. Nothing crazy.",Classic,2024-10-20T00:00:00Z,2024-10-20T10:29:28Z,
El drac,,10465172397,http://www.thecrag.com/ascent/10465172397,Red point,7a,,Sport,Sport,25m,,2,**,1514953974,http://www.thecrag.com/route/1514953974,Spain,http://www.thecrag.com/area/11747395,Grau dels Matxos,http://www.thecrag.com/area/347804847,Grau dels Matxos,"Marc Klingenberg,  Ribeiro di Janiero,  Genís,  Andreu Farré",Happy to say that I was able to send on my second attempt after a proper rest. Knowing what to do and having the quickdraws set helps a lot.,Very Good,2024-10-13T00:00:00Z,2024-10-13T17:20:33Z,
El drac,,10465167783,http://www.thecrag.com/ascent/10465167783,Hang dog,7a,,Sport,Sport,25m,,2,**,1514953974,http://www.thecrag.com/route/1514953974,Spain,http://www.thecrag.com/area/11747395,Grau dels Matxos,http://www.thecrag.com/area/347804847,Grau dels Matxos,"Marc Klingenberg,  Ribeiro di Janiero,  Genís,  Andreu Farré","What a great route! Very sketchy start with slepery feet. After the 3rd bolt, it's handleable until you hit the overhanging part, which is pretty tiring. I fell in the overhanging part.",Very Good,2024-10-13T00:00:00Z,2024-10-13T17:19:01Z,
Anxaneta,,10464317310,http://www.thecrag.com/ascent/10464317310,Red point,6c+,,Sport,Sport,20m,,2,**,348573168,http://www.thecrag.com/route/348573168,Spain,http://www.thecrag.com/area/11747395,Grau dels Matxos,http://www.thecrag.com/area/347804847,Grau dels Matxos,"Marc Klingenberg,  Ribeiro di Janiero,  Genís,  Andreu Farré",I was able to send it on my second attempt! Very happy for the route. Very recommended with an interesting and fun start.,Classic,2024-10-13T00:00:00Z,2024-10-13T13:38:35Z,
Anxaneta,,10464121119,http://www.thecrag.com/ascent/10464121119,Hang dog,6c+,,Sport,Sport,20m,,2,**,348573168,http://www.thecrag.com/route/348573168,Spain,http://www.thecrag.com/area/11747395,Grau dels Matxos,http://www.thecrag.com/area/347804847,Grau dels Matxos,"Marc Klingenberg,  Ribeiro di Janiero,  Genís,  Andreu Farré","Demanding starting on the first three bolts. The middle part is easy. The last part is a bit difficult but easier than the bottom part. I fell in my first attempt on the third bolt, almost at the end of the crux.",Classic,2024-10-13T00:00:00Z,2024-10-13T12:03:44Z,
Núvol blanc,,10463913327,http://www.thecrag.com/ascent/10463913327,Onsight,6b+,,Sport,Sport,15m,,1,**,1514807967,http://www.thecrag.com/route/1514807967,Spain,http://www.thecrag.com/area/11747395,Grau dels Matxos,http://www.thecrag.com/area/347804847,Grau dels Matxos,"Marc Klingenberg,  Ribeiro di Janiero,  Genís,  Andreu Farré","The whole route is at the bottom part, in the first three bolts. The rest is pretty easy. You need to go left on the bottom part, try to not go to the 6b of the right.",Classic,2024-10-13T00:00:00Z,2024-10-13T10:52:08Z,
Atzucac,,10463726901,http://www.thecrag.com/ascent/10463726901,Onsight,6a,,Sport,Sport,15m,,1,**,1514808957,http://www.thecrag.com/route/1514808957,Spain,http://www.thecrag.com/area/11747395,Grau dels Matxos,http://www.thecrag.com/area/347804847,Grau dels Matxos,"Marc Klingenberg,  Ribeiro di Janiero,  Genís,  Andreu Farré","Nice route, nice 6a. Great for warm up, with some part of chimney very enjoyable.",Classic,2024-10-13T00:00:00Z,2024-10-13T09:57:09Z,
Se je upanje,,10432270602,http://www.thecrag.com/ascent/10432270602,Onsight,6b+,,Sport,Sport,20m,,1,**,321146814,http://www.thecrag.com/route/321146814,Slovenia,http://www.thecrag.com/area/11747611,Bohinj,http://www.thecrag.com/area/321136338,Bohinj - Bellevue - A/2,Elena Ruiz,"After doing three routes today, this has been the best slab of the sector! The hardest part is at the bottom for sure. And, being honest, I could consider this as a red point since I had to go up and down three times for the first two moves, but since I haven't fallen, I'll consider it an on-sight.",Classic,2024-10-07T00:00:00Z,2024-10-07T14:02:28Z,
Nizozemska,,10431522255,http://www.thecrag.com/ascent/10431522255,Onsight,6a+,,Sport,Sport,20m,,1,**,321146901,http://www.thecrag.com/route/321146901,Slovenia,http://www.thecrag.com/area/11747611,Bohinj,http://www.thecrag.com/area/321136338,Bohinj - Bellevue - A/2,Elena Ruiz,"Nice slab! There's no special crux, it's pretty balanced across the whole route.",Very Good,2024-10-07T00:00:00Z,2024-10-07T10:47:14Z,
Lidija,,10431393225,http://www.thecrag.com/ascent/10431393225,Onsight,5a,,Sport,Sport,15m,,1,**,321152652,http://www.thecrag.com/route/321152652,Slovenia,http://www.thecrag.com/area/11747611,Bohinj,http://www.thecrag.com/area/321136338,Bohinj - Bellevue - A/2,Elena Ruiz,"Easy slab, nice for beginners. Easy because you can skip the slab several times using big rocks during the route.",Classic,2024-10-07T00:00:00Z,2024-10-07T10:06:53Z,
Na vrtu,,10425809001,http://www.thecrag.com/ascent/10425809001,Onsight,6a+,,Sport,Sport,10m,,1,**,5143428291,http://www.thecrag.com/route/5143428291,Slovenia,http://www.thecrag.com/area/11747611,Gorje,http://www.thecrag.com/area/5143421553,Gorje - Poglejska cerkev,Elena Ruiz,"Great route with the hard part on the top, or at least what I was able to read. The starting part, even though is the most overhanging, is easy.",Very Good,2024-10-06T00:00:00Z,2024-10-06T15:36:08Z,
Ecce Cochon,,10425475086,http://www.thecrag.com/ascent/10425475086,Onsight,6b,,Sport,Sport,10m,,1,**,5143427901,http://www.thecrag.com/route/5143427901,Slovenia,http://www.thecrag.com/area/11747611,Gorje,http://www.thecrag.com/area/5143421553,Gorje - Poglejska cerkev,Elena Ruiz,Great route! Short and intense but with good rests in every bolt.,Classic,2024-10-06T00:00:00Z,2024-10-06T14:59:52Z,
Zajeda,,10424880741,http://www.thecrag.com/ascent/10424880741,Onsight,6b,,Sport,Sport,20m,,1,**,354900402,http://www.thecrag.com/route/354900402,Slovenia,http://www.thecrag.com/area/11747611,Bohinjska Bela,http://www.thecrag.com/area/354896997,Bohinjska Bela - Iglica,Elena Ruiz,"Great route! Decently easy to read with some hard movements, specially between the 4th and 5th bolts. Recommended.",Classic,2024-10-06T00:00:00Z,2024-10-06T12:58:33Z,
Strup za gamse,,10424288349,http://www.thecrag.com/ascent/10424288349,Onsight,4a,,Sport,Sport,20m,,1,**,354899880,http://www.thecrag.com/route/354899880,Slovenia,http://www.thecrag.com/area/11747611,Bohinjska Bela,http://www.thecrag.com/area/354896997,Bohinjska Bela - Iglica,Elena Ruiz,"Great hand holds and nice movements in the middle of the route. It's a 4, indeed, but it has some movements that might make your send a bit strange.",Very Good,2024-10-06T00:00:00Z,2024-10-06T10:42:31Z,
Marjonova poč,,10424276757,http://www.thecrag.com/ascent/10424276757,Hang dog,6a,,Sport,Sport,15m,,1,,354906882,http://www.thecrag.com/route/354906882,Slovenia,http://www.thecrag.com/area/11747611,Bohinjska Bela,http://www.thecrag.com/area/354896997,Bohinjska Bela - Iglica,Elena Ruiz,"Horrible sandbag start not gonna lie. It's very polish, so it doesn't feel safe at all, specially knowing it's very close to the ground. The rest is another story but, because of the start, I wouldn't say it's a 6a.",Don't Bother,2024-10-06T00:00:00Z,2024-10-06T10:39:58Z,
Mr. Hilti,,10393082631,http://www.thecrag.com/ascent/10393082631,Hang dog,6b+,,Sport,Sport,20m,,1,***,14239375,http://www.thecrag.com/route/14239375,Slovenia,http://www.thecrag.com/area/11747611,Osp,http://www.thecrag.com/area/11883625,Osp - Babna,Elena Ruiz,"Great and fun start but pretty tricky rest of the route. It's easy to get confused with the 6b+ from the right, as I did. Hard 6b+ not gonna lie.",Very Good,2024-09-30T00:00:00Z,2024-09-30T16:57:07Z,
Chat noire,,10392404265,http://www.thecrag.com/ascent/10392404265,Hang dog,6b,,Sport,Sport,24m,,1,*,14239231,http://www.thecrag.com/route/14239231,Slovenia,http://www.thecrag.com/area/11747611,Osp,http://www.thecrag.com/area/11883625,Osp - Babna,Elena Ruiz,"Strange route not gonna lie. Big distance between the first bolts. I even had to use a rope between the first and second bolts to kinda have an extra bolt. It's a 6b but since I didn't feel great at the wall, I had to stop several times. Being honest, if you are new at the area like me, I wouldn't try this one.",Good,2024-09-30T00:00:00Z,2024-09-30T14:50:36Z,
Severi ma giusti,,10392065367,http://www.thecrag.com/ascent/10392065367,Hang dog,6c,,Sport,Sport,23m,,1,**,14240227,http://www.thecrag.com/route/14240227,Slovenia,http://www.thecrag.com/area/11747611,Osp,http://www.thecrag.com/area/11883625,Osp - Babna,Elena Ruiz,"Fantastic route, I really enjoyed it! Very sketchy beginning where it's pretty technical. Then you have a no hand rest and then the overhanging part, where it's okish. But I was a bit lost and pump, and couldn't handle the most difficult part. The end is pretty easy.",Classic,2024-09-30T00:00:00Z,2024-09-30T13:24:23Z,
Dolores,,10392061068,http://www.thecrag.com/ascent/10392061068,Hang dog,6a+,,Sport,Sport,20m,,1,**,14240275,http://www.thecrag.com/route/14240275,Slovenia,http://www.thecrag.com/area/11747611,Osp,http://www.thecrag.com/area/11883625,Osp - Babna,Elena Ruiz,"Great route! All movements were pretty clear and easy to read. However I fell in the anchor since I wasn't able to read correctly what to do. The whole route is easy, the crux in the last two bolts.",Very Good,2024-09-30T00:00:00Z,2024-09-30T13:21:12Z,
Tiare Tipanie,,10391026662,http://www.thecrag.com/ascent/10391026662,Onsight,5a,,Sport,Sport,14m,,1,**,14239891,http://www.thecrag.com/route/14239891,Slovenia,http://www.thecrag.com/area/11747611,Osp,http://www.thecrag.com/area/11883625,Osp - Babna,Elena Ruiz,First route of the day on the first visit of Slovenia climbing. Wanted to go easy. Very recommended route for beginners.,Classic,2024-09-30T00:00:00Z,2024-09-30T09:59:23Z,
Laia,,10358513784,http://www.thecrag.com/ascent/10358513784,Hang dog,6b,,Sport,Sport,15m,,1,*,157184358,http://www.thecrag.com/route/157184358,Spain,http://www.thecrag.com/area/11747395,Gelida,http://www.thecrag.com/area/103094418,Gelida - Paret de Font Freda,"Marc Klingenberg,  Elena Ruiz","I tried at the end of the day and pretty tired so not very sure if my opinion is fair enough. However, I saw it as a hard 6b. Pretty physical.",Good,2024-09-24T00:00:00Z,2024-09-24T21:21:42Z,
28,,10358511975,http://www.thecrag.com/ascent/10358511975,Hang dog,7b,,Sport,Sport,23m,,1,**,157178391,http://www.thecrag.com/route/157178391,Spain,http://www.thecrag.com/area/11747395,Gelida,http://www.thecrag.com/area/103094418,Gelida - Paret de Font Freda,"Marc Klingenberg,  Elena Ruiz",My first 7b attempt. The first half of the route is pretty easy and manageable. The second part is pretty tough but doable with good reading and a good strategy. We'll be back for more attempts!,Classic,2024-09-24T00:00:00Z,2024-09-24T21:20:30Z,
La merda de la serra,,10357010871,http://www.thecrag.com/ascent/10357010871,Hang dog,7a+,,Sport,Sport,25m,,1,**,157173939,http://www.thecrag.com/route/157173939,Spain,http://www.thecrag.com/area/11747395,Gelida,http://www.thecrag.com/area/103094418,Gelida - Paret de Font Freda,"Marc Klingenberg,  Elena Ruiz",I started this route thinking it was the neighbor 6b. Spoiler: I was wrong. It was very difficult because my mindset was centered for warming up and thinking it was a 6b. It's a great route but I wasn't at my best of the conditions. Warning: there's a huge rock at the very top of the route that it's not attached to the wall. Watch out!,Good,2024-09-24T00:00:00Z,2024-09-24T17:27:02Z,
1,,10357003539,http://www.thecrag.com/ascent/10357003539,Attempt,6b,,Sport,Sport,20m,,1,**,2292619890,http://www.thecrag.com/route/2292619890,Spain,http://www.thecrag.com/area/11747395,Gelida,http://www.thecrag.com/area/103094418,Gelida - Paret de Font Freda,"Marc Klingenberg,  Elena Ruiz","I started this route for the warm-up of the session, but I decided to go down because I wasn't able to see the next bolt in the middle of the route, and I understood that I chose the wrong route (spoiler: I was wrong).",Very Good,2024-09-24T00:00:00Z,2024-09-24T17:23:09Z,
El pollastre,,10337627223,http://www.thecrag.com/ascent/10337627223,Red point,6b+,,Sport,Sport,20m,,2,*,328652754,http://www.thecrag.com/route/328652754,Spain,http://www.thecrag.com/area/11747395,Solius,http://www.thecrag.com/area/328217196,Solius - Esperó - L'esperó sud,"Genís,  Andreu Farré","After a first failed attempt, I tried more from the right and it worked. Nice and difficult to read start.",Good,2024-09-21T00:00:00Z,2024-09-21T18:41:21Z,
Marmita,,10336925523,http://www.thecrag.com/ascent/10336925523,Red point,7a,,Sport,Sport,20m,,2,**,1045308486,http://www.thecrag.com/route/1045308486,Spain,http://www.thecrag.com/area/11747395,Solius,http://www.thecrag.com/area/328217196,Solius - Esperó - L'esperó sud,"Genís,  Andreu Farré","The whole 7a is in the first two bolts, which is crazy and super intense. But I was able to do it in the second attempt! And the rest is pretty easy and straight forward! Happy to red point an other 7a!",Very Good,2024-09-21T00:00:00Z,2024-09-21T16:09:01Z,
Marmita,,10336917810,http://www.thecrag.com/ascent/10336917810,Attempt,7a,,Sport,Sport,20m,,2,**,1045308486,http://www.thecrag.com/route/1045308486,Spain,http://www.thecrag.com/area/11747395,Solius,http://www.thecrag.com/area/328217196,Solius - Esperó - L'esperó sud,"Genís,  Andreu Farré","First attempt done where part of the crux (the first two bolts) was done but I fell in the last part. Then, I decided to go down and start over.",Very Good,2024-09-21T00:00:00Z,2024-09-21T16:07:03Z,
El pollastre,,10336656777,http://www.thecrag.com/ascent/10336656777,Hang dog,6b+,,Sport,Sport,20m,,2,*,328652754,http://www.thecrag.com/route/328652754,Spain,http://www.thecrag.com/area/11747395,Solius,http://www.thecrag.com/area/328217196,Solius - Esperó - L'esperó sud,"Genís,  Andreu Farré","Pretty hard start and difficult to read since there's no many combinations. However, we've seen a possible path going a bit right of the first bolts that looks promising.",Good,2024-09-21T00:00:00Z,2024-09-21T14:34:13Z,
L'estel solitari,,10336524420,http://www.thecrag.com/ascent/10336524420,Onsight,6a,,Sport,Sport,30m,,1,**,328655760,http://www.thecrag.com/route/328655760,Spain,http://www.thecrag.com/area/11747395,Solius,http://www.thecrag.com/area/328217196,Solius - Esperó - L'esperó est,"Genís,  Andreu Farré","Great slab for the first half of the route, which I don't feel it's a 6a, but not a 6a+, so let's say a 6a hard.",Classic,2024-09-21T00:00:00Z,2024-09-21T13:11:18Z,
73.1 black,,10270960740,http://www.thecrag.com/ascent/10270960740,Attempt,7b,,Sport,Sport,22m,,2,***,10117664817,http://www.thecrag.com/route/10117664817,Spain,http://www.thecrag.com/area/11747395,Sharma Climbing BCN Gavá,http://www.thecrag.com/area/3020335353,Sharma Climbing BCN Gavá,Elena Ruiz,"Another day, another try of this pretty overhanging route. I have the feeling that I did better this time but not so many more bolts done this time.",Mega Classic,2024-09-08T00:00:00Z,2024-09-08T18:53:15Z,
80.2.1 red,,10270959141,http://www.thecrag.com/ascent/10270959141,Hang dog,7a,,Sport,Sport,20m,,1,**,10270943280,http://www.thecrag.com/route/10270943280,Spain,http://www.thecrag.com/area/11747395,Sharma Climbing BCN Gavá,http://www.thecrag.com/area/3020335353,Sharma Climbing BCN Gavá,Elena Ruiz,"Nice route! Decently constant but specially hard on the middle, where I fell twice, the end part is pretty doable.",Very Good,2024-09-08T00:00:00Z,2024-09-08T18:52:30Z,
84.1 green,,10270958217,http://www.thecrag.com/ascent/10270958217,Red point,6b+,,Sport,Sport,20m,,2,**,10270943199,http://www.thecrag.com/route/10270943199,Spain,http://www.thecrag.com/area/11747395,Sharma Climbing BCN Gavá,http://www.thecrag.com/area/3020335353,Sharma Climbing BCN Gavá,Elena Ruiz,"After the first try, and knowing what to do on the last but one bolt, I could send it.",Very Good,2024-09-08T00:00:00Z,2024-09-08T18:51:27Z,
84.1 green,,10270952253,http://www.thecrag.com/ascent/10270952253,Hang dog,6b+,,Sport,Sport,20m,,2,**,10270943199,http://www.thecrag.com/route/10270943199,Spain,http://www.thecrag.com/area/11747395,Sharma Climbing BCN Gavá,http://www.thecrag.com/area/3020335353,Sharma Climbing BCN Gavá,Elena Ruiz,"First lead route of the day with a hard part at the last but one bolt, that couldn't manage/read correctly.",Very Good,2024-09-08T00:00:00Z,2024-09-08T18:51:03Z,
Princesa Leia,,10224191481,http://www.thecrag.com/ascent/10224191481,Hang dog,7a/a+,,Sport,Sport,18m,,3,**,5312590377,http://www.thecrag.com/route/5312590377,Spain,http://www.thecrag.com/area/11747395,Cervello,http://www.thecrag.com/area/103094502,Cervello - Vallirana - La Cascada - La Cascada,Marc Klingenberg,"In the second attempt of the day, I wasn't able to handle the first two bolts sadly, but I improved the efficiency a lot of the rest. Let's see next day.",Very Good,2024-08-31T00:00:00Z,2024-08-31T12:28:45Z,
Princesa Leia,,10224186087,http://www.thecrag.com/ascent/10224186087,Hang dog,7a/a+,,Sport,Sport,18m,,3,**,5312590377,http://www.thecrag.com/route/5312590377,Spain,http://www.thecrag.com/area/11747395,Cervello,http://www.thecrag.com/area/103094502,Cervello - Vallirana - La Cascada - La Cascada,Marc Klingenberg,"Two months ago I did my first attempt and today was another story. I was able to do the first two bolts crazy movements, but I wasn't able to handle the rest, specially the second crux at the end.",Very Good,2024-08-31T00:00:00Z,2024-08-31T12:24:19Z,
Xut Norris,,10224178302,http://www.thecrag.com/ascent/10224178302,Red point,6b,,Sport,Sport,15m,,2,**,5312674605,http://www.thecrag.com/route/5312674605,Spain,http://www.thecrag.com/area/11747395,Cervello,http://www.thecrag.com/area/103094502,Cervello - Vallirana - La Cascada - El Soldat Romà,Marc Klingenberg,"After several months, almost a year, later, I tried this route again and I was able to send it enjoying a lot. Very recommended part with a fun ending.",Mega Classic,2024-08-31T00:00:00Z,2024-08-31T12:16:59Z,
Parko,,10154568156,http://www.thecrag.com/ascent/10154568156,Hang dog,6c,,Sport,Sport,15m,,3,**,7048143321,http://www.thecrag.com/route/7048143321,Spain,http://www.thecrag.com/area/11747395,Montserrat,http://www.thecrag.com/area/11882185,Montserrat - Montserrat Nord-Est - Cova de l'Os,Genís,"Heavy start, but kinda doable when you know what to do. The rest is very nice, very Montserrat style. I fell then, but I'll come back for another try. From the last bolt to the anchor is super far away.",Very Good,2024-08-18T00:00:00Z,2024-08-18T17:47:55Z,
Gualtrapilla,,10154086194,http://www.thecrag.com/ascent/10154086194,Red point,6a+,,Sport,Sport,15m,,2,**,7048133877,http://www.thecrag.com/route/7048133877,Spain,http://www.thecrag.com/area/11747395,Montserrat,http://www.thecrag.com/area/11882185,Montserrat - Montserrat Nord-Est - Cova de l'Os,Genís,"After falling in the first bolt, I decided to try again from the ground in my second attempt and all great. The first three bolts are the tricky ones, then it's another story.",Very Good,2024-08-18T00:00:00Z,2024-08-18T15:45:40Z,
Gualtrapilla,,10154084040,http://www.thecrag.com/ascent/10154084040,Attempt,6a+,,Sport,Sport,15m,,2,**,7048133877,http://www.thecrag.com/route/7048133877,Spain,http://www.thecrag.com/area/11747395,Montserrat,http://www.thecrag.com/area/11882185,Montserrat - Montserrat Nord-Est - Cova de l'Os,Genís,First route of the day and couldn't read anything after the first bolt and fell. Decided to go down and try again.,Very Good,2024-08-18T00:00:00Z,2024-08-18T15:44:26Z,
